SEGMENT: 1,SCENARIO:  HEFT-W of 57th,

HR,LANE VOLUME,LANE VOLUME,LANE VOLUME,LANE VOLUME,SHARE %,SHARE %,VC RATIO,VC RATIO,VC RATIO,VC RATIO,CONGESTED SPEED,CONGESTED SPEED,CONGESTED SPEED,CONGESTED SPEED,TOLL,TOLL
FACILITY,GU,GU,XL,XL,CORRIDOR,XL,XL,GU,GU,XL,XL,GU,GU,XL,XL,XL,XL
DIRECTION,NB,SB,NB,SB,TOTAL,NB,SB,NB,SB,NB,SB,NB,SB,NB,SB,NB,SB
 17:   ,   5314,   6550,    627,   2540,  15031,   10.5,   27.9,   0.89,   1.10,   0.15,   0.62,   62.5,   18.0,   70.0,   69.9,   0.19,   0.20
 18:   ,   5958,   7209,   1061,   3524,  17753,   15.1,   32.8,   1.00,   1.21,   0.26,   0.86,   28.1,   12.9,   70.0,   68.9,   0.19,   0.69
 19:   ,   5236,   7321,    228,   2204,  14988,    4.2,   23.1,   0.88,   1.23,   0.06,   0.54,   63.8,   12.3,   70.0,   69.9,   0.19,   0.19
 20:   ,   5419,   5834,    261,    354,  11868,    4.6,    5.7,   0.91,   0.98,   0.06,   0.09,   55.8,   31.8,   70.0,   70.0,   0.19,   0.19
 21:   ,   3841,   3679,    168,    153,   7842,    4.2,    4.0,   0.65,   0.62,   0.04,   0.04,   64.9,   64.9,   70.0,   70.0,   0.19,   0.19
 22:   ,   3018,   2887,    131,    119,   6155,    4.2,    4.0,   0.51,   0.48,   0.03,   0.03,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
 23:   ,   2446,   2464,    106,    101,   5118,    4.1,    4.0,   0.41,   0.41,   0.03,   0.02,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
 24:   ,   1408,   1685,     61,     69,   3224,    4.1,    4.0,   0.24,   0.28,   0.01,   0.02,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
TOTAL:,  95812,  94367,  15701,  16514, 222393,   14.1,   14.9,

TOTAL GU CORRIDOR:,  190179
TOTAL XL CORRIDOR:,   32214
TOTAL CORRIDOR:,  222393,

PULL LINK
XL NB A NODE:,   92050
XL NB B NODE:,   92051
XL SB A NODE:,   92025
XL SB B NODE:,   92026
GU NB A NODE:,   27692
GU NB B NODE:,   25200
GU SB A NODE:,   21784
GU SB B NODE:,   27690

SEGMENT: 5,SCENARIO:  S of 88th St,

HR,LANE VOLUME,LANE VOLUME,LANE VOLUME,LANE VOLUME,SHARE %,SHARE %,VC RATIO,VC RATIO,VC RATIO,VC RATIO,CONGESTED SPEED,CONGESTED SPEED,CONGESTED SPEED,CONGESTED SPEED,TOLL,TOLL
FACILITY,GU,GU,XL,XL,CORRIDOR,XL,XL,GU,GU,XL,XL,GU,GU,XL,XL,XL,XL
DIRECTION,NB,SB,NB,SB,TOTAL,NB,SB,NB,SB,NB,SB,NB,SB,NB,SB,NB,SB
  1:   ,    615,    720,     25,     25,   1385,    3.9,    3.4,   0.10,   0.12,   0.01,   0.01,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
  2:   ,    313,    420,     13,     15,    761,    3.9,    3.4,   0.05,   0.07,   0.00,   0.00,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
  3:   ,    237,    304,     10,     11,    561,    3.9,    3.4,   0.04,   0.05,   0.00,   0.00,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
  4:   ,    328,    390,     13,     14,    745,    3.9,    3.4,   0.06,   0.07,   0.00,   0.00,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
  5:   ,    677,    583,     27,     21,   1308,    3.9,    3.4,   0.11,   0.10,   0.01,   0.01,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
  6:   ,   1819,   1517,     74,     53,   3462,    3.9,    3.4,   0.31,   0.25,   0.02,   0.01,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
